race_date,venue_code,race_no,lane,finish,is_win,is_top3,course_base_winrate,rank_num,age,weight,flying_count,late_count,avg_start_time,win_rate_all,win_rate_2,win_rate_3,local_win_rate,local_win_rate_2,local_win_rate_3,motor_2rate,boat_2rate
20250827,12,1,1,1.0,1.0,1.0,0.555,2,35.0,52.0,0,0,0.18,4.31,20.0,34.44,4.09,18.75,34.38,29.27,24.64
20250827,12,1,1,1.0,1.0,1.0,0.555,1,,,0,0,,2.0,,,,,,,
20250827,12,1,1,1.0,1.0,1.0,0.555,1,,,0,0,,5.0,,,,,,,
20250827,12,1,2,2.0,0.0,1.0,0.154,2,42.0,51.5,0,0,0.18,4.34,25.77,39.18,4.12,20.0,36.0,43.9,37.35
20250827,12,1,5,3.0,0.0,1.0,0.057,1,,,0,0,,2.0,,,3.0,,,,
20250827,12,1,3,6.0,0.0,0.0,0.114,1,,,0,0,,2.0,,,6.0,,,,
20250827,12,1,3,6.0,0.0,0.0,0.114,2,42.0,52.0,0,0,0.2,4.22,20.33,33.33,4.5,33.33,50.0,23.38,25.64
20250827,12,1,4,5.0,0.0,0.0,0.087,1,,,0,0,,1.0,,,,,,,
20250827,12,1,6,4.0,0.0,0.0,0.033,1,,,0,0,,5.0,,,,,,,
20250827,12,1,4,5.0,0.0,0.0,0.087,2,42.0,51.0,0,0,0.17,4.78,23.53,47.9,3.71,23.53,23.53,37.35,31.34
20250827,12,1,2,2.0,0.0,1.0,0.154,1,,,0,0,,4.0,,,1.0,,,,
20250827,12,1,3,6.0,0.0,0.0,0.114,1,,,0,0,,3.0,,,4.0,,,,
20250827,12,1,5,3.0,0.0,1.0,0.057,2,55.0,53.0,1,0,0.18,4.38,26.39,36.11,4.79,28.57,42.86,40.74,20.0
20250827,12,1,6,4.0,0.0,0.0,0.033,1,,,0,0,,4.0,,,5.0,,,,
20250827,12,1,6,4.0,0.0,0.0,0.033,1,,,0,0,,2.0,,,6.0,,,,
20250827,12,1,6,4.0,0.0,0.0,0.033,2,18.0,52.0,1,0,0.17,2.84,6.49,19.48,2.0,0.0,0.0,33.73,32.53
20250827,12,1,5,3.0,0.0,1.0,0.057,1,,,0,0,,6.0,,,4.0,,,,
20250827,12,1,4,5.0,0.0,0.0,0.087,1,,,0,0,,5.0,,,6.0,,,,
