feature,importance
lane,177161.4867939949
win_rate_all_dev,36760.90592575073
win_rate_2_dev,16805.214688301086
win_rate_3_dev,12500.172585964203
rc_win_rt_dev,6354.65162563324
rc_win_rt_rank,4986.534395694733
motor_2rate_dev,4168.338919639587
win_rate_all_rank,3551.4234342575073
rank_num_rank,3193.1176409721375
rc_top3_rt_dev,2993.655406475067
rank_num_dev,2982.776168823242
weight,1809.6156015396118
local_win_rate_2_dev,1716.3572888374329
avg_start_time_dev,1614.6310305595398
age,1268.6230916976929
rc_races,1203.3955078125
local_win_rate_dev,1158.2319612503052
motor_2rate_rank,1036.6396589279175
boat_2rate_dev,764.6149296760559
avg_start_time_rank,660.431173324585
local_win_rate_3_dev,636.7531189918518
local_win_rate_rank,570.8972806930542
win_rate_2_rank,468.88202238082886
flying_count,277.61491107940674
rc_top3_rt_rank,239.53775930404663
boat_2rate_rank,198.52686834335327
win_rate_3_rank,126.05089998245239
local_win_rate_3_rank,123.36354923248291
local_win_rate_2_rank,105.61281156539917
late_count,0.0
exhibition_time_rank,0.0
exhibition_time_dev,0.0
start_course_rank,0.0
start_course_dev,0.0
start_st_rank,0.0
start_st_dev,0.0
